title,category,address,city,neighborhood,latitude,longitude,rating,reviews_count,phone,permanently_closed,scraped_at
Mojid Homio Pharmacy,Homeopathic pharmacy,"Daulatpur, Bangladesh",Daulatpur,Daulatpur,22.877175,89.5210981,4.8,8.0,+880 1922-306154,False,2026-01-11T16:14:26.669Z
Sarkar Pharmacy,Pharmacy,"VG8F+W43, Sheikh Ayub Ali Road, Pabla, Khulna 9202, Bangladesh",Khulna,Daulatpur,22.8672651,89.5227852,,,+880 1923-328244,False,2026-01-11T16:14:31.055Z
M/S Fatema Pharmacy,Pharmacy,"VG9G+4MM, Jessore Khulna Rd, Khulna 9202, Bangladesh",Khulna,Daulatpur,22.8678477,89.5266739,3.0,1.0,+880 1721-760686,False,2026-01-11T16:14:37.784Z
Binapani Pharmacy,Pharmacy,"VFR9+MJ5, Rangpur Gazitala bajar, Khulna, Bangladesh",Khulna,,22.8916495,89.46912,5.0,1.0,+880 1710-384023,False,2026-01-11T16:14:37.950Z
তেতুল তলার মোড়,Garden,"Khulna, Bangladesh",Khulna,Daulatpur,22.8769363,89.5117203,4.5,19.0,+880 1929-084595,False,2026-01-11T16:14:27.716Z
Aymaan Pharmacy,Pharmacy,"Khulna - Jessore - Dhaka Hwy, Khulna 9202, Bangladesh",Khulna,Daulatpur,22.8702474,89.5255402,5.0,6.0,+880 1913-701926,False,2026-01-11T16:14:42.589Z
Golokdham,Pharmacy,"VGR2+45X, Khulna, Bangladesh",,,22.8903597,89.5004766,,,,False,2026-01-11T16:14:44.665Z
Shikder Pharmacy,Pharmacy,"VG9G+X84, Khulna, Bangladesh",Khulna,Daulatpur,22.8698951,89.5258206,5.0,3.0,+880 1924-202289,False,2026-01-11T16:14:41.701Z
M/S Gazi Pharmacy,Pharmacy,"WG73+R9Q, Khulna, Bangladesh",Khulna,Gilatala,22.9145955,89.5035255,5.0,1.0,,False,2026-01-11T16:14:49.373Z
M/S K H Pharmacy,Pharmacy,"VG7F+V5W, Khulna, Bangladesh",Khulna,Daulatpur,22.8647359,89.5229384,5.0,1.0,,False,2026-01-11T16:14:49.127Z
Shuboha Homeo Hall,Homeopathic pharmacy,"VGH6+FXW, Islam Bag, Gilatala Paul Para Rd, Khulna 9202, Bangladesh",Khulna,Daulatpur,22.878731,89.5124582,1.0,1.0,+880 1915-723020,False,2026-01-11T16:14:49.616Z
Islam Pharmacy,Pharmacy,"VGM9+82F, Kadarnath Rd, Khulna, Bangladesh",Khulna,Maniktala,22.8833151,89.5175625,4.7,3.0,,False,2026-01-11T16:14:53.086Z
Ma Pharmacy,Pharmacy,"VGM5+H8X, Kedarnath Rd, Khulna, Bangladesh",Khulna,Daulatpur,22.8839816,89.5083692,,,,False,2026-01-11T16:14:53.927Z
Bolaka Pharmacy,Pharmacy,"Khulna - Jessore - Dhaka Hwy, Khulna 9202, Bangladesh",Khulna,Daulatpur,22.8698954,89.5258214,4.4,7.0,+880 1711-394215,False,2026-01-11T16:14:47.992Z
Germany Pharmacy,Pharmacy,"VGM5+RC6, Kedarnath Rd, Khulna, Bangladesh",Khulna,Daulatpur,22.8845476,89.508501,4.0,4.0,,False,2026-01-11T16:14:57.565Z
Pintu Pharmacy,Pharmacy,"VGM5+J9C, Kedarnath Rd, Khulna, Bangladesh",Khulna,Daulatpur,22.8840632,89.5083886,4.0,5.0,,False,2026-01-11T16:14:59.190Z
