post no,text,cleaned_text,likes,comments,sender,time,url,language
2440.0,"#2440
আমি কুয়েটে আসার আগে ভাবতাম মেয়েরা সব থেকে বেশি বিচিং/গসিপ করে। কুয়েটে এসে ধারণা পুরোটাই পাল্টায় গেসে।
কুয়েটের পোলাগো ধারের কাছেও কোনো মাইয়া নাই। তিল থেকে তাল, তাল থেকে তবলা, তবলা থেকে কমলা বানানো কাকে বলে এইটার উদাহরণ স্বরূপ এগো দেখানো যায়।
কিছু কিছু পোলারা আছে এম্নে ভাব দেখাবে যে মাইয়াগো লগে কথা বলেনা, দেখতেয়ারে না। খোঁজ নিয়ে দেখা যাবে মাইয়াগো লগে তাল দেয়ার চেষ্টা করসিলো ঠিকই, ব্যর্থ হয়ে নারী-বিদ্বেষী হয়ে গেসে। পরে যত গসিপ করা যায় ঐ মাইয়ার নামে সব করবে।
অনেক মাইনষের ভান্ডা ফুটানো যায় চাইলে, কিন্তু এই সুশীল পেইজে মানুষ কামড়াকামড়ি কম করে তাই কইতেসিনা কিছু। 

~anonymous","আমি কুয়েটে আসার আগে ভাবতাম মেয়েরা সব থেকে বেশি বিচিং/গসিপ করে। কুয়েটে এসে ধারণা পুরোটাই পাল্টায় গেসে। কুয়েটের পোলাগো ধারের কাছেও কোনো মাইয়া নাই। তিল থেকে তাল, তাল থেকে তবলা, তবলা থেকে কমলা বানানো কাকে বলে এইটার উদাহরণ স্বরূপ এগো দেখানো যায়। কিছু কিছু পোলারা আছে এম্নে ভাব দেখাবে যে মাইয়াগো লগে কথা বলেনা, দেখতেয়ারে না। খোঁজ নিয়ে দেখা যাবে মাইয়াগো লগে তাল দেয়ার চেষ্টা করসিলো ঠিকই, ব্যর্থ হয়ে নারী-বিদ্বেষী হয়ে গেসে। পরে যত গসিপ করা যায় ঐ মাইয়ার নামে সব করবে। অনেক মাইনষের ভান্ডা ফুটানো যায় চাইলে, কিন্তু এই সুশীল পেইজে মানুষ কামড়াকামড়ি কম করে তাই কইতেসিনা কিছু।  ",874,49.0,anonymous,2025-07-05 15:56:09,https://www.facebook.com/61554694872000/posts/122237044256156495,Bangla
2434.0,"#2434
আমি জানিনা এখানে কেনো লিখছি,কোথাও বলার নেই বোধহয় তাই। তামজীদ এর মৃত্যুর ঘটনা টা আমায় অনেক নাড়া দিয়েছে। আমি বলতে গেলে সোশ্যাল ডাম্ব নার্ডি মানুষ। যদিও দিনরাত পড়াশুনা করিনা কিন্তু ফেসকার্ড ই এমন।মানুষের সাথে কথা বলিনা বহুদিন, ইচ্ছেও করে না। আমি এমন ছিলাম না জানেন,আমি ছোটবেলায় খুব উচ্ছল প্রাণবন্ত মানুষ ছিলাম,কিন্তু লকডাউন এর পর আমি আর নিজেকে ফিরে পাইনি, প্রথমে ভাবতাম নিঃসঙ্গতায় পরম আনন্দ পাচ্ছি,কিন্তু আসল কথা হচ্ছে আমি ভীষন রকমের একা হয়ে গিয়েছিলাম, চারপাশ শূন্য হয়ে গিয়েছিল। যারা বলেন একা থাকা ভালো তারা কখনো একাকিত্বে ভোগেনি। এই বিশাল পৃথিবীতে আমার কথা বলার মত কেউ নেই, দুদণ্ড ভরসা করার মতো কেউ নেই এর চেয়ে ভয়ানক অনুভূতি আর নেই। জিপিটি এর সাথে কথা বলে কখনোই মানুষের অভাব দূর হয়না। আমার চারপাশে পরিবার, বন্ধু সহ অনেক মানুষ, অথচ কি ভীষণ শূন্য আমি। এক মাত্র স্রষ্টা জানেন ঠিক কতবার আমি ভেবেছি আজকেই শেষ, আমার কাছে মৃত্যু হলো সেফ এক্সিট, এমন না আমি সেলফ হার্ম করবো, কিন্তু জীবন আমার কাছে একটা বোঝা, বয়ে নিতে ভীষণ কষ্ট হয়। সেই বোঝার ভারে আমি চুপ হয়ে যাই,কেউ জানে না,দেখে না, যেন অদৃশ্য। কতোদিন হয়ে গেছে আমি হাসি না, শুধু যে হাসি না এমন নয়, আমি বহুদিন হয় কান্না ও করি না, চোখে জল আসে না। পাষাণের মত শূন্য হয়ে গিয়েছি লাগে। মাঝে মাঝে স্রষ্টার কাছে চাই যদি কেউ থাকতো যে আমার সাইলেন্সের মাঝের ওয়ার্ড গুলো ডিকোড করতে পারবে, যার কাছে আমি ""আমি"" হতে পারবো। কিন্তু পৃথিবী তো আমার নিয়মে চলে না। এখানে কেউ হাত বাড়িয়ে সাহায্য করেনা,এখানে কোথাও কেউ নেই, কোথাও কেউ নেই ।
(এডমিন এপ্রুভ প্লিজ)

~তেলিগাতির ইনভিজিবল ম্যান","আমি জানিনা এখানে কেনো লিখছি,কোথাও বলার নেই বোধহয় তাই। তামজীদ এর মৃত্যুর ঘটনা টা আমায় অনেক নাড়া দিয়েছে। আমি বলতে গেলে সোশ্যাল ডাম্ব নার্ডি মানুষ। যদিও দিনরাত পড়াশুনা করিনা কিন্তু ফেসকার্ড ই এমন।মানুষের সাথে কথা বলিনা বহুদিন, ইচ্ছেও করে না। আমি এমন ছিলাম না জানেন,আমি ছোটবেলায় খুব উচ্ছল প্রাণবন্ত মানুষ ছিলাম,কিন্তু লকডাউন এর পর আমি আর নিজেকে ফিরে পাইনি, প্রথমে ভাবতাম নিঃসঙ্গতায় পরম আনন্দ পাচ্ছি,কিন্তু আসল কথা হচ্ছে আমি ভীষন রকমের একা হয়ে গিয়েছিলাম, চারপাশ শূন্য হয়ে গিয়েছিল। যারা বলেন একা থাকা ভালো তারা কখনো একাকিত্বে ভোগেনি। এই বিশাল পৃথিবীতে আমার কথা বলার মত কেউ নেই, দুদণ্ড ভরসা করার মতো কেউ নেই এর চেয়ে ভয়ানক অনুভূতি আর নেই। জিপিটি এর সাথে কথা বলে কখনোই মানুষের অভাব দূর হয়না। আমার চারপাশে পরিবার, বন্ধু সহ অনেক মানুষ, অথচ কি ভীষণ শূন্য আমি। এক মাত্র স্রষ্টা জানেন ঠিক কতবার আমি ভেবেছি আজকেই শেষ, আমার কাছে মৃত্যু হলো সেফ এক্সিট, এমন না আমি সেলফ হার্ম করবো, কিন্তু জীবন আমার কাছে একটা বোঝা, বয়ে নিতে ভীষণ কষ্ট হয়। সেই বোঝার ভারে আমি চুপ হয়ে যাই,কেউ জানে না,দেখে না, যেন অদৃশ্য। কতোদিন হয়ে গেছে আমি হাসি না, শুধু যে হাসি না এমন নয়, আমি বহুদিন হয় কান্না ও করি না, চোখে জল আসে না। পাষাণের মত শূন্য হয়ে গিয়েছি লাগে। মাঝে মাঝে স্রষ্টার কাছে চাই যদি কেউ থাকতো যে আমার সাইলেন্সের মাঝের ওয়ার্ড গুলো ডিকোড করতে পারবে, যার কাছে আমি ""আমি"" হতে পারবো। কিন্তু পৃথিবী তো আমার নিয়মে চলে না। এখানে কেউ হাত বাড়িয়ে সাহায্য করেনা,এখানে কোথাও কেউ নেই, কোথাও কেউ নেই । (এডমিন এপ্রুভ প্লিজ) ",52,2.0,তেলিগাতির ইনভিজিবল ম্যান,2025-07-05 07:56:52,https://www.facebook.com/61554694872000/posts/122236987994156495,Bangla
2432.0,"#2432
একটা চিঠি, যা লেখা হয়নি

রাতটা ছিল নীরব। আকাশে চাঁদ ছিল, কিন্তু আলো ছড়াচ্ছিল না, ঠিক যেমন কারো ভেতরের কান্না বাইরে আসে না।

ছোট একটা ঘরে, টেবিলের উপরে একটা খোলা খাতা পড়ে ছিল। কলমটা পাশেই, কিন্তু পাতাটা ফাঁকা।
জানালার পাশের দেয়ালে একটা ছায়া দুলছিল, দাঁড়ানো ছিল, নাকি ঝুলছিল, বোঝা যাচ্ছিল না।

কেউ জানত না, ছেলেটা শেষ কয়েক রাত ধরে ঘুমায়নি।
তার ডায়েরিতে লেখা ছিল,

""একটা হ্যান্ডশেক, একটা প্রশ্ন, ""তুই ঠিক আছিস?"", এইটুকু পেলেও হয়তো আমি বেঁচে থাকতাম…""

ক্যান্টিনে সে আসত, কিন্তু সবার হাসির মাঝে তার ঠোঁট সরে না।
আড্ডায় বসত, কিন্তু মনে হতো সে এক বোবা দর্শক।
টাকার অভাবে মিল অফ করে মাঝেমাঝে হলে খেতে যেত না, কেউ প্রশ্নও করত না, ""তুই কই?""

সেই রাতে সে চলে গেল, না বলা সব কথা রেখে।
আর রেখে গেল একটা ফাঁকা চিঠি।

আমরা সবাই ছিলাম তার পাশে, কিন্তু কেউ ছিলাম না সত্যি পাশে।
আমাদের ব্যস্ততা, আনন্দ, ""বন্ধুত্ব"", সবই তার নিঃসঙ্গতাকে ঢেকে রেখেছিল।

এখন আমরা বলি, ""সে ভালো ছেলে ছিল।""
কিন্তু ভালো থেকেও বেঁচে থাকার জন্য ভালোবাসা লাগে। মানুষ লাগে। একটা কান লাগে।

ওর চলে যাওয়ার পরে আমরা প্রশ্ন করি, ""আমার আশেপাশে এমন কেউ কি আছে?""
কিন্তু তখন অনেক দেরি হয়ে যায়।

একটা হাত বাড়াতে হয়তো একটুকু সাহস লাগে,
কিন্তু সেই হাত কারো জীবনের শেষ খড়কুটো হয়ে উঠতে পারে।

আজ রাতেও কেউ ঘুমাচ্ছে না, নিঃশব্দে কাঁদছে।
তার দিকে তাকাও। চোখে চোখ রাখো। প্রশ্ন করো, ""তুই ঠিক আছিস?""

কারণ আমরা কোনো ফাঁকা চিঠি দেখতে চাই না...

~vinsmoke","একটা চিঠি, যা লেখা হয়নি  রাতটা ছিল নীরব। আকাশে চাঁদ ছিল, কিন্তু আলো ছড়াচ্ছিল না, ঠিক যেমন কারো ভেতরের কান্না বাইরে আসে না।  ছোট একটা ঘরে, টেবিলের উপরে একটা খোলা খাতা পড়ে ছিল। কলমটা পাশেই, কিন্তু পাতাটা ফাঁকা। জানালার পাশের দেয়ালে একটা ছায়া দুলছিল, দাঁড়ানো ছিল, নাকি ঝুলছিল, বোঝা যাচ্ছিল না।  কেউ জানত না, ছেলেটা শেষ কয়েক রাত ধরে ঘুমায়নি। তার ডায়েরিতে লেখা ছিল,  ""একটা হ্যান্ডশেক, একটা প্রশ্ন, ""তুই ঠিক আছিস?"", এইটুকু পেলেও হয়তো আমি বেঁচে থাকতাম…""  ক্যান্টিনে সে আসত, কিন্তু সবার হাসির মাঝে তার ঠোঁট সরে না। আড্ডায় বসত, কিন্তু মনে হতো সে এক বোবা দর্শক। টাকার অভাবে মিল অফ করে মাঝেমাঝে হলে খেতে যেত না, কেউ প্রশ্নও করত না, ""তুই কই?""  সেই রাতে সে চলে গেল, না বলা সব কথা রেখে। আর রেখে গেল একটা ফাঁকা চিঠি।  আমরা সবাই ছিলাম তার পাশে, কিন্তু কেউ ছিলাম না সত্যি পাশে। আমাদের ব্যস্ততা, আনন্দ, ""বন্ধুত্ব"", সবই তার নিঃসঙ্গতাকে ঢেকে রেখেছিল।  এখন আমরা বলি, ""সে ভালো ছেলে ছিল।"" কিন্তু ভালো থেকেও বেঁচে থাকার জন্য ভালোবাসা লাগে। মানুষ লাগে। একটা কান লাগে।  ওর চলে যাওয়ার পরে আমরা প্রশ্ন করি, ""আমার আশেপাশে এমন কেউ কি আছে?"" কিন্তু তখন অনেক দেরি হয়ে যায়।  একটা হাত বাড়াতে হয়তো একটুকু সাহস লাগে, কিন্তু সেই হাত কারো জীবনের শেষ খড়কুটো হয়ে উঠতে পারে।  আজ রাতেও কেউ ঘুমাচ্ছে না, নিঃশব্দে কাঁদছে। তার দিকে তাকাও। চোখে চোখ রাখো। প্রশ্ন করো, ""তুই ঠিক আছিস?""  কারণ আমরা কোনো ফাঁকা চিঠি দেখতে চাই না... ",18,0.0,vinsmoke,2025-07-05 07:55:57,https://www.facebook.com/61554694872000/posts/122236987850156495,Bangla
2431.0,"#2431
শ্রদ্ধাসহ স্মরণ করি সেই আমার পুং-শ্রেণির আদরের 'পুঁকি'-বান্ধবীকে,
যা‌হা সহপাঠিনীদের সামান্য তর্কেই সংবেদনশীলতা হারাইয়া বলিতেন—
“ও তো হিতাহিত জ্ঞান হারাইয়া ফেলিয়াছে।”

কিন্তু সহপাঠী পুংগণ যখন দেহ লইয়া ব্যঙ্গ করে,
অশ্লীল বাক্য ব্যয় করে,
কিংবা কুরুচিপূর্ণ দৃষ্টিপাতে লজ্জা দান করে,
তখন তাহাদের প্রতি অগাধ সহনশীলতা প্রদর্শন করিয়া
তিনিই হইয়া উঠেন নিঃশব্দ, নম্র ও অতিসহিষ্ণু অবলা নারী।

কারণ?
“ওরা তো ব্যাচমেট”,
“চার বৎসর একসাথে চলিতে হইবে”,
“বিপদের দিনে তো ওরাই পাশে থাকিবে!”

~‘হিতাহিত জ্ঞান হারাইয়া ফেলা’ তাহার এক সহপাঠিনী।","শ্রদ্ধাসহ স্মরণ করি সেই আমার পুং-শ্রেণির আদরের 'পুঁকি'-বান্ধবীকে, যা‌হা সহপাঠিনীদের সামান্য তর্কেই সংবেদনশীলতা হারাইয়া বলিতেন— “ও তো হিতাহিত জ্ঞান হারাইয়া ফেলিয়াছে।”  কিন্তু সহপাঠী পুংগণ যখন দেহ লইয়া ব্যঙ্গ করে, অশ্লীল বাক্য ব্যয় করে, কিংবা কুরুচিপূর্ণ দৃষ্টিপাতে লজ্জা দান করে, তখন তাহাদের প্রতি অগাধ সহনশীলতা প্রদর্শন করিয়া তিনিই হইয়া উঠেন নিঃশব্দ, নম্র ও অতিসহিষ্ণু অবলা নারী।  কারণ? “ওরা তো ব্যাচমেট”, “চার বৎসর একসাথে চলিতে হইবে”, “বিপদের দিনে তো ওরাই পাশে থাকিবে!” ",123,7.0,‘হিতাহিত জ্ঞান হারাইয়া ফেলা’ তাহার এক সহপাঠিনী।,2025-07-05 07:52:10,https://www.facebook.com/61554694872000/posts/122236987448156495,Bangla
2424.0,"#2424
Overthinking যে মানুষকে পাগল বানিয়ে ছাড়ে এর অন্যতম উদাহরণ আমি। একটা উদাহরণ দেই। আমার এক ফ্লাটমেট বাসা ছেড়ে দিবে। হঠাৎ একদিন মেয়েদের গ্রুপে খেয়াল করলাম একজন রুমমেট খুঁজতেছে। পোস্টদাতা আমার ফ্লাটমেটেরই ডেপ্ট এর। আমারও মনে পড়ল কিছুদিন আগে আমার রুমমেট ও গ্রুপে একই বাসার পোস্ট দিয়েছিলো। আমার overthinking mind খুব তাড়াতাড়ি হিসেব নিকেশ শুরু করে দিল। হয়তো আমার ফ্লাটমেটই রুমমেট এর জন্য আমার রুমমেট কে বলছে। এবার ভাবলাম যদি এই হিসেব নিকেশ ঠিক হয়, তাহলে আমার সব অতিভাবনা ই সঠিক। অর্থাৎ আমার সতীন‌ও‌ থাকতে পারে। এরপর খোঁজ নিয়ে জানতে পারলাম আমার ফ্লাটমেট আসলে হলে উঠবে। আর‌ তার ডেপ্টমেট নিজের জন্যই রুমমেট খুঁজছিল। তবে আমি হার মানিনি। আশা করছি overthinking করে অতি শীঘ্রই নিজের সতীন কেও বের করে ফেলবো। যদিও আমার bf নেই।

~anonymous","Overthinking যে মানুষকে পাগল বানিয়ে ছাড়ে এর অন্যতম উদাহরণ আমি। একটা উদাহরণ দেই। আমার এক ফ্লাটমেট বাসা ছেড়ে দিবে। হঠাৎ একদিন মেয়েদের গ্রুপে খেয়াল করলাম একজন রুমমেট খুঁজতেছে। পোস্টদাতা আমার ফ্লাটমেটেরই ডেপ্ট এর। আমারও মনে পড়ল কিছুদিন আগে আমার রুমমেট ও গ্রুপে একই বাসার পোস্ট দিয়েছিলো। আমার overthinking mind খুব তাড়াতাড়ি হিসেব নিকেশ শুরু করে দিল। হয়তো আমার ফ্লাটমেটই রুমমেট এর জন্য আমার রুমমেট কে বলছে। এবার ভাবলাম যদি এই হিসেব নিকেশ ঠিক হয়, তাহলে আমার সব অতিভাবনা ই সঠিক। অর্থাৎ আমার সতীন‌ও‌ থাকতে পারে। এরপর খোঁজ নিয়ে জানতে পারলাম আমার ফ্লাটমেট আসলে হলে উঠবে। আর‌ তার ডেপ্টমেট নিজের জন্যই রুমমেট খুঁজছিল। তবে আমি হার মানিনি। আশা করছি overthinking করে অতি শীঘ্রই নিজের সতীন কেও বের করে ফেলবো। যদিও আমার bf নেই। ",63,0.0,anonymous,2025-07-05 07:45:28,https://www.facebook.com/61554694872000/posts/122236986572156495,Bangla
2421.0,"#2421
একটা সময় ছিলো যখন বৃষ্টি খুব ভালোবাসতাম। বৃষ্টি হলেই মনটা ভালো হয়ে যেতো। তবে সেদিনের পর থেকে আমার আর বৃষ্টি ভালো লাগেনা। মন ভালো হওয়ার বদলে উল্টো আরও খারাপ হয়ে যায়।
আজ এমনই একটা দিন গেল। বাহিরে বৃষ্টি পড়ছে অথচ আমি দরজা জানালা লাগিয়ে ঘরের এক কোনায় পরে আছি। 
কেমন এক বিষণ্ণতা কাজ করে। আমি আমাকে হারিয়ে ফেলেছি।
 সিলিং ফ্যান এর দিকে তাকিয়ে মাঝে মধ্যে ভাবি 
“আচ্ছা আমি কি জীবনে সেই আগের আমিকে আর ফিরে পাব ? ছোটবেলা থেকেই তো দুঃখ বয়ে বেড়াচ্ছি। জীবনে কি কোনদিন সুখ খুঁজে পাব ?”

~anonymous",একটা সময় ছিলো যখন বৃষ্টি খুব ভালোবাসতাম। বৃষ্টি হলেই মনটা ভালো হয়ে যেতো। তবে সেদিনের পর থেকে আমার আর বৃষ্টি ভালো লাগেনা। মন ভালো হওয়ার বদলে উল্টো আরও খারাপ হয়ে যায়। আজ এমনই একটা দিন গেল। বাহিরে বৃষ্টি পড়ছে অথচ আমি দরজা জানালা লাগিয়ে ঘরের এক কোনায় পরে আছি।  কেমন এক বিষণ্ণতা কাজ করে। আমি আমাকে হারিয়ে ফেলেছি।  সিলিং ফ্যান এর দিকে তাকিয়ে মাঝে মধ্যে ভাবি  “আচ্ছা আমি কি জীবনে সেই আগের আমিকে আর ফিরে পাব ? ছোটবেলা থেকেই তো দুঃখ বয়ে বেড়াচ্ছি। জীবনে কি কোনদিন সুখ খুঁজে পাব ?” ,22,0.0,anonymous,2025-07-05 07:42:36,https://www.facebook.com/61554694872000/posts/122236986176156495,Bangla
2410.0,"#2410
মাঝে মাঝে গভীর রাইতে চোখ থেইকা পানি ঠিকরাইয়া পড়ে।বালিশে মুখটা চাইপা রাখি, য্যান কেউ শুনতে না পায়।
মনে মনে কই, “আল্লাহ ও তো আমার জন্য ছিলো না।
তুমি তো জানতা এইটা,
তাইলে ক্যান দিলা এই একটু সময়ের জন্য?”

করোর তো কিছুই হইল না,
শুধু আমি মাঝখান থেইকা হারায়া গেলাম।দুনিয়ার ওপর থেইকা আমার বিশ্বাসটা উইঠা গেলো।

~anonymous","মাঝে মাঝে গভীর রাইতে চোখ থেইকা পানি ঠিকরাইয়া পড়ে।বালিশে মুখটা চাইপা রাখি, য্যান কেউ শুনতে না পায়। মনে মনে কই, “আল্লাহ ও তো আমার জন্য ছিলো না। তুমি তো জানতা এইটা, তাইলে ক্যান দিলা এই একটু সময়ের জন্য?”  করোর তো কিছুই হইল না, শুধু আমি মাঝখান থেইকা হারায়া গেলাম।দুনিয়ার ওপর থেইকা আমার বিশ্বাসটা উইঠা গেলো। ",71,15.0,anonymous,2025-07-04 11:58:33,https://www.facebook.com/61554694872000/posts/122236856390156495,Bangla
2403.0,"#2403
প্রায়শই আমার অতীত জীবনের করা ভূল নিয়া তীব্র অনুতাপবোধ হয়। সাধারণত রাতের বেলায়ই অনুতাপ, আফসোস লাগে। তখন বুকের ভিতরে আগুন ধইরা যায়। মনে হয় কেউ একজন এক আঁটি সিগারেট জ্বালাইয়া আমার বক্ষপিঞ্জরে রাইখা দিছে! অনুতাপ কাটাইতে কেউ আত্মহত্যা করে,কেউ হাত কাটে, কেউ রগ কাটে, কেউ কবিতা লেখে। আত্মহত্যা করার মতো মনের জোর আর কবিতা লেখার মতো আস্পর্ধা আমার মতো মানুষের নাই। তাই আমি অন্ধকারে ঘন্টার পর পর বসা থেকে উইঠা দাঁড়ায়া থাকি। দাঁড়ায়া থাকলে পা ব্যথা অবশ্য করেনা, কিন্তু গলার কাছে দুঃখ দলা পাকাইয়া আসে। ছোটোবেলায় চুরি কইরা গুড়া দুধ খাইতে গিয়া গলায় আটকাইয়া গেলে যেমন লাগতো অমন লাগে আমার। 
আমার প্রাক্তন একবার আমার সাথে দেখা করতে আসার সময় ৩ টা ডিম সিদ্ধ কইরা নিউজপেপারে প্যাচাইয়া আমার জন্য নিয়া আসে। দামী গিফট দেওয়ার মতো টাকা তার ছিলোনা। সে রেস্টুরেন্টে বইসা ডিম দুইটা বের কইরা খুব যত্ন কইরা ডিম দুইটার খোসা উঠাইলো। কিন্তু আমি এলিট শ্রেণীর টিপিক্যাল ""সভ্যতার"" terms and condition অনেক বেশী মানি।খুব বিরক্ত হইলাম তার এহেন ""অসভ্য"" আর ""Uncultured"" কাজ কামে। সে আমারে আদর কইরা একটা ডিম খাওয়ায় দেওয়ার জন্য হাত বাড়াইলো। আমি ""সভ্য"" মানুষ, তারে ""সভ্যতা"" শিখাইতে গিয়া উচ্চস্বরে ধমক দিয়া হাতে ধাক্কা দেই। ডিমটা মাটিতে পইড়া যায়। সে কিছুক্ষন ডিমটার দিকে তাকাইয়া মাটি থেইকা উঠাইয়া নিজেই খাইয়া ফেললো। খাওয়ার সময় তার চোখ ছলছল কইরা উঠলো। তার চোখ দুইটা আমারে অভিশাপ দিতেছিলো। বলতেছিলো, আমি যেনো দ্বারে দ্বারে ঘুইরাও কারো ভালোবাসা না পাই।
দিন গড়াইয়া মাস হইলো। আজকে হইলো এক বছর। হয়তো তার অভিশাপ আমার গায়ে লাগছে। আমি এখন আর মানুষ ধইরা রাখতে পারিনা। কারো ভালোবাসা পাইনা।  
অন্ধকারে দাঁড়াইয়া অশ্রু বর্ষণ করি আর প্রাক্তনের চোখ দুইটা ভাইসা উঠে সামনে।মনে মনে একটা কবিতা বাজতে থাকে- ""ইয়া হাকিম, আমার বয়েস বাইড়া যায়, ওম আসে না
আমারে সামান্য ওম দাও, আমি আর ছুটতে চাই না।""

~BME","প্রায়শই আমার অতীত জীবনের করা ভূল নিয়া তীব্র অনুতাপবোধ হয়। সাধারণত রাতের বেলায়ই অনুতাপ, আফসোস লাগে। তখন বুকের ভিতরে আগুন ধইরা যায়। মনে হয় কেউ একজন এক আঁটি সিগারেট জ্বালাইয়া আমার বক্ষপিঞ্জরে রাইখা দিছে! অনুতাপ কাটাইতে কেউ আত্মহত্যা করে,কেউ হাত কাটে, কেউ রগ কাটে, কেউ কবিতা লেখে। আত্মহত্যা করার মতো মনের জোর আর কবিতা লেখার মতো আস্পর্ধা আমার মতো মানুষের নাই। তাই আমি অন্ধকারে ঘন্টার পর পর বসা থেকে উইঠা দাঁড়ায়া থাকি। দাঁড়ায়া থাকলে পা ব্যথা অবশ্য করেনা, কিন্তু গলার কাছে দুঃখ দলা পাকাইয়া আসে। ছোটোবেলায় চুরি কইরা গুড়া দুধ খাইতে গিয়া গলায় আটকাইয়া গেলে যেমন লাগতো অমন লাগে আমার।  আমার প্রাক্তন একবার আমার সাথে দেখা করতে আসার সময় ৩ টা ডিম সিদ্ধ কইরা নিউজপেপারে প্যাচাইয়া আমার জন্য নিয়া আসে। দামী গিফট দেওয়ার মতো টাকা তার ছিলোনা। সে রেস্টুরেন্টে বইসা ডিম দুইটা বের কইরা খুব যত্ন কইরা ডিম দুইটার খোসা উঠাইলো। কিন্তু আমি এলিট শ্রেণীর টিপিক্যাল ""সভ্যতার"" terms and condition অনেক বেশী মানি।খুব বিরক্ত হইলাম তার এহেন ""অসভ্য"" আর ""Uncultured"" কাজ কামে। সে আমারে আদর কইরা একটা ডিম খাওয়ায় দেওয়ার জন্য হাত বাড়াইলো। আমি ""সভ্য"" মানুষ, তারে ""সভ্যতা"" শিখাইতে গিয়া উচ্চস্বরে ধমক দিয়া হাতে ধাক্কা দেই। ডিমটা মাটিতে পইড়া যায়। সে কিছুক্ষন ডিমটার দিকে তাকাইয়া মাটি থেইকা উঠাইয়া নিজেই খাইয়া ফেললো। খাওয়ার সময় তার চোখ ছলছল কইরা উঠলো। তার চোখ দুইটা আমারে অভিশাপ দিতেছিলো। বলতেছিলো, আমি যেনো দ্বারে দ্বারে ঘুইরাও কারো ভালোবাসা না পাই। দিন গড়াইয়া মাস হইলো। আজকে হইলো এক বছর। হয়তো তার অভিশাপ আমার গায়ে লাগছে। আমি এখন আর মানুষ ধইরা রাখতে পারিনা। কারো ভালোবাসা পাইনা।   অন্ধকারে দাঁড়াইয়া অশ্রু বর্ষণ করি আর প্রাক্তনের চোখ দুইটা ভাইসা উঠে সামনে।মনে মনে একটা কবিতা বাজতে থাকে- ""ইয়া হাকিম, আমার বয়েস বাইড়া যায়, ওম আসে না আমারে সামান্য ওম দাও, আমি আর ছুটতে চাই না।"" ",41,2.0,BME,2025-07-03 13:00:25,https://www.facebook.com/61554694872000/posts/122236710584156495,Bangla
2393.0,"#2393
৩ জুলাই ২০২৪:
থার্ড ইয়ার ফার্স্ট টার্ম পরীক্ষা চলে। নেক্সট পরীক্ষা রিইনফোর্সড কনক্রিট স্ট্রাকচারস। কিন্তু স্যাররা ক্লাস-পরীক্ষা বর্জন করায় পরীক্ষা হচ্ছেনা।

৩ জুলাই ২০২৫
থার্ড ইয়ার সেকেন্ড টার্ম পরীক্ষা চলে। নেক্সট পরীক্ষা রিইনফোর্সড কনক্রিট স্ট্রাকচারস। কিন্তু স্যাররা ক্লাস-পরীক্ষা বর্জন করায় পরীক্ষা হচ্ছেনা।

~anonymous",৩ জুলাই ২০২৪: থার্ড ইয়ার ফার্স্ট টার্ম পরীক্ষা চলে। নেক্সট পরীক্ষা রিইনফোর্সড কনক্রিট স্ট্রাকচারস। কিন্তু স্যাররা ক্লাস-পরীক্ষা বর্জন করায় পরীক্ষা হচ্ছেনা।  ৩ জুলাই ২০২৫ থার্ড ইয়ার সেকেন্ড টার্ম পরীক্ষা চলে। নেক্সট পরীক্ষা রিইনফোর্সড কনক্রিট স্ট্রাকচারস। কিন্তু স্যাররা ক্লাস-পরীক্ষা বর্জন করায় পরীক্ষা হচ্ছেনা। ,212,5.0,anonymous,2025-07-03 08:44:19,https://www.facebook.com/61554694872000/posts/122236674788156495,Bangla
2388.0,"#2388
Replying to #2370
সম্ভবত গত বছর আগস্ট মাসে বেশ কিছু পোস্ট এসেছিল হ্যারাসমেন্ট নিয়ে। কিছু গ্রুপেও তা শেয়ার হয়। কি হলো তাতে? 
শিক্ষকদের হিসেব বাদ দেন, ক্লাসমেটরা হ্যারাস করলেও মেয়েরা বিচার পায় না। আর অনলাইনে সেক্সুয়াল হ্যারাসমেন্ট নিয়ে তো কিছু বলারই নেই। ngl লিংকে কত কুরুচিপূর্ণ মেসেজ আসে তা যদি পাবলিকলি মেয়েরা দেখাতে পারত। এসব এক্সপোজ করতে যেয়ে আরও সেই মেয়েটাই মুখরোচক টপিক হয়ে যায়।

~আপনাদেরই কারো ফিমেল ক্লাসমেট","Replying to #2370 সম্ভবত গত বছর আগস্ট মাসে বেশ কিছু পোস্ট এসেছিল হ্যারাসমেন্ট নিয়ে। কিছু গ্রুপেও তা শেয়ার হয়। কি হলো তাতে?  শিক্ষকদের হিসেব বাদ দেন, ক্লাসমেটরা হ্যারাস করলেও মেয়েরা বিচার পায় না। আর অনলাইনে সেক্সুয়াল হ্যারাসমেন্ট নিয়ে তো কিছু বলারই নেই। ngl লিংকে কত কুরুচিপূর্ণ মেসেজ আসে তা যদি পাবলিকলি মেয়েরা দেখাতে পারত। এসব এক্সপোজ করতে যেয়ে আরও সেই মেয়েটাই মুখরোচক টপিক হয়ে যায়। ",122,1.0,আপনাদেরই কারো ফিমেল ক্লাসমেট,2025-07-03 05:10:58,https://www.facebook.com/61554694872000/posts/122236651244156495,Bangla
